Timestamp;Data
884818.073914679;103
884818.081592714;490
884818.089270748;774
884818.096948782;544
884818.104626817;103
884818.112304851;326
884818.119982886;68
884818.12766092;60
884818.135338955;199
884818.143016989;136
884818.150695024;75
884818.158373058;108
884818.166051093;98
884818.173729127;75
884818.181407162;78
884818.189085196;63
884818.196763231;37
884818.204441265;27
884818.2121193;17
884818.219797334;7
884818.227475368;7
884818.235153403;27
884818.242831437;43
884818.250509472;35
884818.258187506;15
884818.265865541;2
884818.273543575;22
884818.28122161;45
884818.288899644;55
884818.296577679;68
884818.304255713;101
884818.311933748;126
884818.319611782;136
884818.327289817;139
884818.334967851;121
884818.342645885;113
884818.35032392;134
884818.358001954;141
884818.365679989;131
884818.373358023;124
884818.381036058;121
884818.388714092;126
884818.396392127;136
884818.404070161;124
884818.411748195;116
884818.41942623;139
884818.427104264;144
884818.434782299;124
884818.442460334;124
884818.450138368;131
884818.457816402;101
884818.465494437;53
884818.473172471;55
884818.480850506;103
884818.48852854;116
884818.496206575;98
884818.503884609;111
884818.511562644;121
884818.519240678;113
884818.526918713;116
884818.534596747;111
884818.542274781;98
884818.549952816;106
884818.55763085;103
884818.565308885;111
884818.572986919;129
884818.580664954;40
884818.588342988;465
884818.596021023;822
884818.603699057;655
884818.611377092;22
884818.619055126;359
884818.626733161;98
884818.634411195;53
884818.64208923;222
884818.649767264;164
884818.657445298;96
884818.665123333;131
884818.672801367;121
884818.680479402;106
884818.688157436;111
884818.695835471;80
884818.703513505;53
884818.71119154;53
884818.718869574;40
884818.726547609;17
884818.734225643;5
884818.741903678;25
884818.749581712;60
884818.757259746;45
884818.764937781;20
884818.772615815;0
884818.78029385;25
884818.787971884;35
884818.795649919;53
884818.803327953;93
884818.811005988;108
884818.818684022;108
884818.826362057;124
884818.834040091;124
884818.841718126;121
884818.84939616;167
884818.857074195;177
884818.864752229;129
884818.872430263;124
884818.880108298;144
884818.887786332;134
884818.895464367;116
884818.903142401;108
884818.910820436;98
884818.91849847;93
884818.926176505;121
884818.933854539;156
884818.941532574;149
884818.949210608;139
884818.956888643;129
884818.964566677;86
884818.972244712;55
884818.979922746;68
884818.98760078;96
884818.995278815;121
884819.002956849;116
884819.010634884;86
884819.018312918;75
884819.025990953;65
884819.033668987;58
884819.041347022;101
884819.049025056;131
884819.056703091;108
884819.064381125;106
884819.07205916;156
884819.079737194;151
884819.087415229;91
884819.095093263;561
884819.102771298;901
884819.110449332;582
884819.118127366;184
884819.125805401;379
